risk_flag,customer_count,minimum_cost,maximum_cost,median_cost
Low Risk,15778,41.98,246.17,168.81
Medium Risk,12709,246.18,429.69,318.75
High Risk,6541,429.73,684.38,521.25
Extreme Risk,1981,684.46,1402.75,789.94
